,HEADLINE,ID,ONCLICK
0,김정은동지께서 김대중 전 대통령의 부인 리희호녀사의 유가족들에게 조의문을 보내시였다,AR0126135,"fn_showArticle(""AR0126135"", """", ""NT00"", ""L"")"
1,경애하는 최고령도자 김정은동지께서 김대중 전 대통령의 부인 리희호녀사의 유가족들에게 조의문과 조화를 보내시였다,AR0126133,"fn_showArticle(""AR0126133"", """", ""NT00"", ""L"")"
2,김정은동지께서 로씨야대통령에게 축전을 보내시였다,AR0126098,"fn_showArticle(""AR0126098"", """", ""NT00"", ""L"")"
3,경애하는 최고령도자 김정은동지께서 조선인민군 제2기 제7차 군인가족예술소조경연에서 당선된 군부대들의 군인가족예술소조원들과 기념사진을 찍으시였다,AR0125885,"fn_showArticle(""AR0125885"", """", ""NT00"", ""L"")"
4,김정은동지께서 꾸바공산당 중앙위원회 제1비서에게 축전을 보내시였다,AR0125876,"fn_showArticle(""AR0125876"", """", ""NT00"", ""L"")"
5,대집단체조와 예술공연 《인민의 나라》 개막,AR0125856,"fn_showArticle(""AR0125856"", """", ""NT00"", ""L"")"
6,"조선반도와 세계의 평화를 위해서는 조미공동성명이 리행되여야 한다고 인도네시아정당,단체 주장",AR0126358,"fn_showArticle(""AR0126358"", """", ""NT41"", ""L"")"
7,김일성주석회고 스웨리예위원회 결성,AR0126357,"fn_showArticle(""AR0126357"", """", ""NT41"", ""L"")"
8,로씨야단체들 6.12조미공동성명채택 1돐에 즈음하여 성명 발표,AR0126356,"fn_showArticle(""AR0126356"", """", ""NT41"", ""L"")"
9,김정일동지의 로작을 로씨야의 인터네트홈페지가 게재,AR0126355,"fn_showArticle(""AR0126355"", """", ""NT41"", ""L"")"
10,민주꽁고단체 6.15북남공동선언발표 19돐에 즈음하여 뷸레찐 발행,AR0126354,"fn_showArticle(""AR0126354"", """", ""NT41"", ""L"")"
11,2019년 아시아축구련맹컵경기대회 9조(동아시아지역)경기소식,AR0126353,"fn_showArticle(""AR0126353"", """", ""NT41"", ""L"")"
12,원격교육을 강화,AR0126352,"fn_showArticle(""AR0126352"", """", ""NT41"", ""L"")"
13,로씨야정교회대표단 귀국,AR0126351,"fn_showArticle(""AR0126351"", """", ""NT41"", ""L"")"
14,"김일성동지와 김정일동지의 동상에 근로자들과 청소년학생들,인민군장병들 꽃바구니 진정",AR0126350,"fn_showArticle(""AR0126350"", """", ""NT41"", ""L"")"
15,조선기자동맹대표단 중국을 방문하기 위해 출발,AR0126349,"fn_showArticle(""AR0126349"", """", ""NT41"", ""L"")"
16,주체성과 민족성이 강한 조선의 사회주의,AR0126339,"fn_showArticle(""AR0126339"", """", ""NT41"", ""L"")"
17,사회주의위업을 승리에로 향도하는 조선로동당,AR0126338,"fn_showArticle(""AR0126338"", """", ""NT41"", ""L"")"
18,조선로동당을 참다운 어머니당으로 건설하신 위대한 령도자,AR0126335,"fn_showArticle(""AR0126335"", """", ""NT41"", ""L"")"
19,소원을 성취 못한 기자--어머님과 일화,AR0126334,"fn_showArticle(""AR0126334"", """", ""NT41"", ""L"")"
20,남조선각계 북남선언리행을 위한 통일운동 활발히 전개,AR0126331,"fn_showArticle(""AR0126331"", """", ""NT41"", ""L"")"
21,남조선신문 《자한당》의 로동악법조작책동을 규탄,AR0126330,"fn_showArticle(""AR0126330"", """", ""NT41"", ""L"")"
22,중조친선을 계승하여 시대의 새로운 장을 계속 아로새기자,AR0126327,"fn_showArticle(""AR0126327"", """", ""NT41"", ""L"")"
23,주체108(2019)년 6월 19일 신문개관,AR0126325,"fn_showArticle(""AR0126325"", """", ""NT41"", ""L"")"
24,《로동신문》 대조선적대시정책에 매여달리는 일본을 규탄,AR0126324,"fn_showArticle(""AR0126324"", """", ""NT41"", ""L"")"
25,김정일동지의 주체의 당건설령도업적을 길이 빛내여나가자고  《로동신문》 강조,AR0126322,"fn_showArticle(""AR0126322"", """", ""NT41"", ""L"")"
26,《로동신문》 사상사업은 사회주의위업수행에서 중핵적인 사업이라고 강조,AR0126321,"fn_showArticle(""AR0126321"", """", ""NT41"", ""L"")"
27,앞날의 훌륭한 교육자로--평양교원대학에서,AR0126320,"fn_showArticle(""AR0126320"", """", ""NT41"", ""L"")"
28,조선인민을 승리에로 향도하는 조선로동당을 국제사회계가 격찬,AR0126319,"fn_showArticle(""AR0126319"", """", ""NT41"", ""L"")"
29,조선인민에게 련대성을 보낼것을 세네갈정당 호소,AR0126317,"fn_showArticle(""AR0126317"", """", ""NT41"", ""L"")"
30,김정일동지의 당건설업적을 여러 나라 인사들 찬양,AR0126316,"fn_showArticle(""AR0126316"", """", ""NT41"", ""L"")"
31,백두산체스꼬조선친선협회 년차총회 진행,AR0126315,"fn_showArticle(""AR0126315"", """", ""NT41"", ""L"")"
32,중앙미술전시회 개막,AR0126318,"fn_showArticle(""AR0126318"", """", ""NT41"", ""L"")"
33,중앙연구토론회 진행,AR0126314,"fn_showArticle(""AR0126314"", """", ""NT41"", ""L"")"
34,김일성동지와 김정일동지의 동상을 찾아 총련 지바현상공회대표단 경모의 정 표시,AR0126313,"fn_showArticle(""AR0126313"", """", ""NT41"", ""L"")"
35,총련 지바현상공회대표단 도착,AR0126312,"fn_showArticle(""AR0126312"", """", ""NT41"", ""L"")"
36,반제민전 평양지부 대표 공동선언리행에 총력을 경주해갈것이라고 강조,AR0126233,"fn_showArticle(""AR0126233"", """", ""NT04"", ""L"")"
37,6.15공동선언실천 민족공동위원회 결의문,AR0126228,"fn_showArticle(""AR0126228"", """", ""NT04"", ""L"")"
38,조국통일연구원 상보,AR0125916,"fn_showArticle(""AR0125916"", """", ""NT04"", ""L"")"
39,조선민주주의인민공화국 조국평화통일위원회 통일선전국 고발장,AR0125556,"fn_showArticle(""AR0125556"", """", ""NT04"", ""L"")"
40,파멸의 운명에 처한자들의 부질없는 대결광증--조선중앙통신사 론평,AR0125472,"fn_showArticle(""AR0125472"", """", ""NT04"", ""L"")"
41,반제민전 중앙위원회 전국민이 일치단합하여 보수적페세력들을 척결하고 항쟁용사들이 바라던 념원을 성취하자고 호소,AR0125350,"fn_showArticle(""AR0125350"", """", ""NT04"", ""L"")"
42,거세찬 역풍을 몰아오는 《북풍몰이》--조선중앙통신사 론평,AR0125232,"fn_showArticle(""AR0125232"", """", ""NT04"", ""L"")"
43,"조선반도와 세계의 평화를 위해서는 조미공동성명이 리행되여야 한다고 인도네시아정당,단체 주장",AR0126358,"fn_showArticle(""AR0126358"", """", ""NT03"", ""L"")"
44,김일성주석회고 스웨리예위원회 결성,AR0126357,"fn_showArticle(""AR0126357"", """", ""NT03"", ""L"")"
45,로씨야단체들 6.12조미공동성명채택 1돐에 즈음하여 성명 발표,AR0126356,"fn_showArticle(""AR0126356"", """", ""NT03"", ""L"")"
46,김정일동지의 로작을 로씨야의 인터네트홈페지가 게재,AR0126355,"fn_showArticle(""AR0126355"", """", ""NT03"", ""L"")"
47,민주꽁고단체 6.15북남공동선언발표 19돐에 즈음하여 뷸레찐 발행,AR0126354,"fn_showArticle(""AR0126354"", """", ""NT03"", ""L"")"
48,로씨야정교회대표단 귀국,AR0126351,"fn_showArticle(""AR0126351"", """", ""NT03"", ""L"")"
49,조선기자동맹대표단 중국을 방문하기 위해 출발,AR0126349,"fn_showArticle(""AR0126349"", """", ""NT03"", ""L"")"
50,조선인민을 승리에로 향도하는 조선로동당을 국제사회계가 격찬,AR0126319,"fn_showArticle(""AR0126319"", """", ""NT03"", ""L"")"
51,"조선반도와 세계의 평화를 위해서는 조미공동성명이 리행되여야 한다고 인도네시아정당,단체 주장",AR0126358,"fn_showArticle(""AR0126358"", """", ""NT06"", ""L"")"
52,김일성주석회고 스웨리예위원회 결성,AR0126357,"fn_showArticle(""AR0126357"", """", ""NT06"", ""L"")"
53,김정일동지의 로작을 로씨야의 인터네트홈페지가 게재,AR0126355,"fn_showArticle(""AR0126355"", """", ""NT06"", ""L"")"
54,2019년 아시아축구련맹컵경기대회 9조(동아시아지역)경기소식,AR0126353,"fn_showArticle(""AR0126353"", """", ""NT06"", ""L"")"
55,로씨야외무성 흑해에서의 나토의 군사활동 비난,AR0126347,"fn_showArticle(""AR0126347"", """", ""NT06"", ""L"")"
56,마로끄에서 심각한 대기오염,AR0126345,"fn_showArticle(""AR0126345"", """", ""NT06"", ""L"")"
57,로씨야단체들 6.12조미공동성명채택 1돐에 즈음하여 성명 발표,AR0126356,"fn_showArticle(""AR0126356"", """", ""NT06"", ""L"")"
58,민주꽁고단체 6.15북남공동선언발표 19돐에 즈음하여 뷸레찐 발행,AR0126354,"fn_showArticle(""AR0126354"", """", ""NT06"", ""L"")"
59,스위스에서 반미집회,AR0126348,"fn_showArticle(""AR0126348"", """", ""NT06"", ""L"")"
60,스리랑카에서 강풍과 무더기비피해,AR0126346,"fn_showArticle(""AR0126346"", """", ""NT06"", ""L"")"
61,탄자니아에서 콜레라피해 확대,AR0126344,"fn_showArticle(""AR0126344"", """", ""NT06"", ""L"")"
62,6.15공동선언실천 민족공동위원회 결의문,AR0126228,"fn_showArticle(""AR0126228"", """", ""NT17"", ""L"")"
63,조국통일연구원 상보,AR0125916,"fn_showArticle(""AR0125916"", """", ""NT17"", ""L"")"
64,조선민주주의인민공화국 외무성 대변인담화,AR0125883,"fn_showArticle(""AR0125883"", """", ""NT17"", ""L"")"
65,조선민주주의인민공화국 외무성 미국연구소 정책연구실장의 담화,AR0125700,"fn_showArticle(""AR0125700"", """", ""NT17"", ""L"")"
66,조선민주주의인민공화국 조국평화통일위원회 통일선전국 고발장,AR0125556,"fn_showArticle(""AR0125556"", """", ""NT17"", ""L"")"
67,반제민전 중앙위원회 전국민이 일치단합하여 보수적페세력들을 척결하고 항쟁용사들이 바라던 념원을 성취하자고 호소,AR0125350,"fn_showArticle(""AR0125350"", """", ""NT17"", ""L"")"
68,5.1절 129돐기념 북남로동자단체 공동성명,AR0124794,"fn_showArticle(""AR0124794"", """", ""NT17"", ""L"")"
69,중조친선을 계승하여 시대의 새로운 장을 계속 아로새기자,AR0126327,"fn_showArticle(""AR0126327"", """", ""NT16"", ""L"")"
70,주체108(2019)년 6월 19일 신문개관,AR0126325,"fn_showArticle(""AR0126325"", """", ""NT16"", ""L"")"
71,《로동신문》 대조선적대시정책에 매여달리는 일본을 규탄,AR0126324,"fn_showArticle(""AR0126324"", """", ""NT16"", ""L"")"
72,김정일동지의 주체의 당건설령도업적을 길이 빛내여나가자고  《로동신문》 강조,AR0126322,"fn_showArticle(""AR0126322"", """", ""NT16"", ""L"")"
73,《로동신문》 사상사업은 사회주의위업수행에서 중핵적인 사업이라고 강조,AR0126321,"fn_showArticle(""AR0126321"", """", ""NT16"", ""L"")"
74,《로동신문》 혁명과 건설에서 주체성과 민족성을 고수해나갈데 대해 강조,AR0126293,"fn_showArticle(""AR0126293"", """", ""NT16"", ""L"")"
75,주체108(2019)년 6월 18일 신문개관,AR0126292,"fn_showArticle(""AR0126292"", """", ""NT16"", ""L"")"
76,남조선각계 북남선언리행을 위한 통일운동 활발히 전개,AR0126331,"fn_showArticle(""AR0126331"", """", ""NT02"", ""L"")"
77,남조선신문 《자한당》의 로동악법조작책동을 규탄,AR0126330,"fn_showArticle(""AR0126330"", """", ""NT02"", ""L"")"
78,남조선단체들 4.27판문점선언과 9월평양공동선언의 전면적리행을 요구,AR0126298,"fn_showArticle(""AR0126298"", """", ""NT02"", ""L"")"
79,남조선단체 북남선언리행을 위한 범국민운동을 호소,AR0126253,"fn_showArticle(""AR0126253"", """", ""NT02"", ""L"")"
80,남조선단체 조선반도평화를 위해 노력할것을 선언,AR0126224,"fn_showArticle(""AR0126224"", """", ""NT02"", ""L"")"
81,남조선단체 조선민족이 주인이 되여 평화실현을 위해 노력해야 한다고 주장,AR0126191,"fn_showArticle(""AR0126191"", """", ""NT02"", ""L"")"
82,남조선단체들 민족분렬을 끝장내기 위한 투쟁에 나설것을 호소,AR0126309,"fn_showArticle(""AR0126309"", """", ""NT02"", ""L"")"
83,남조선 각계층시민들 보수단체들의 란동을 규탄,AR0126254,"fn_showArticle(""AR0126254"", """", ""NT02"", ""L"")"
84,남조선강원도에서 야생진드기에 의한 사망자 발생,AR0126225,"fn_showArticle(""AR0126225"", """", ""NT02"", ""L"")"
85,남조선각계층 군부깡패의 살인만행을 성토,AR0126192,"fn_showArticle(""AR0126192"", """", ""NT02"", ""L"")"
86,남조선방송 이전 《정권》의 민심기만행위 폭로,AR0126190,"fn_showArticle(""AR0126190"", """", ""NT02"", ""L"")"
87,김일성동지와 김정일동지의 동상을 찾아 총련 지바현상공회대표단 경모의 정 표시,AR0126313,"fn_showArticle(""AR0126313"", """", ""NT05"", ""L"")"
88,총련 지바현상공회대표단 도착,AR0126312,"fn_showArticle(""AR0126312"", """", ""NT05"", ""L"")"
89,김일성동지와 김정일동지의 동상을 찾아 재일조선고급학교 학생조국방문단들 경모의 정 표시,AR0126193,"fn_showArticle(""AR0126193"", """", ""NT05"", ""L"")"
90,김일성동지와 김정일동지의 동상을 찾아 재일동포조국방문단 경모의 정 표시,AR0126164,"fn_showArticle(""AR0126164"", """", ""NT05"", ""L"")"
91,총련의 방문단들 도착,AR0126162,"fn_showArticle(""AR0126162"", """", ""NT05"", ""L"")"
92,국제고려인통일련합회 잡지 《통일》 2019년 4-5월호 발행,AR0126154,"fn_showArticle(""AR0126154"", """", ""NT05"", ""L"")"
93,재일조선고급학교 학생조국방문단이 떠나갔다,AR0126153,"fn_showArticle(""AR0126153"", """", ""NT05"", ""L"")"
94,최룡해동지 세이쉘공화국 국경절을 축하,AR0126295,"fn_showArticle(""AR0126295"", """", ""NT21"", ""L"")"
95,김정은동지께 베네수엘라 까라보보주 나구아나구아시가 최고훈장을 수여해드리였다,AR0126287,"fn_showArticle(""AR0126287"", """", ""NT21"", ""L"")"
96,"중국공산당 중앙위원회 총서기,중화인민공화국 주석 습근평동지가 조선을 방문한다",AR0126286,"fn_showArticle(""AR0126286"", """", ""NT21"", ""L"")"
97,김재룡동지 덕천지구탄광련합기업소 현지료해,AR0126281,"fn_showArticle(""AR0126281"", """", ""NT21"", ""L"")"
98,량면술책은 통하지 않는다--조선중앙통신사 론평,AR0126277,"fn_showArticle(""AR0126277"", """", ""NT21"", ""L"")"
99,"조선에서 도(직할시),시(구역),군인민회의 대의원선거를 위한 중앙선거지도위원회를 조직",AR0126169,"fn_showArticle(""AR0126169"", """", ""NT21"", ""L"")"
100,최룡해동지 조선과 까자흐스딴사이의 친선협조관계가 강화발전되리라는 확신 표명,AR0126127,"fn_showArticle(""AR0126127"", """", ""NT21"", ""L"")"
101,최룡해동지 필리핀독립 121돐을 축하,AR0126118,"fn_showArticle(""AR0126118"", """", ""NT21"", ""L"")"
102,전범기를 비호하는 목적은 무엇인가--조선중앙통신사 론평,AR0126117,"fn_showArticle(""AR0126117"", """", ""NT21"", ""L"")"
103,김재룡동지 인민경제 여러 단위 현지료해,AR0126091,"fn_showArticle(""AR0126091"", """", ""NT21"", ""L"")"
104,2019년 아시아축구련맹컵경기대회 9조(동아시아지역)경기소식,AR0126353,"fn_showArticle(""AR0126353"", """", ""NT11"", ""L"")"
105,2018년-2019년 조선민주주의인민공화국 1부류축구련맹전소식(14),AR0126278,"fn_showArticle(""AR0126278"", """", ""NT11"", ""L"")"
106,보천보홰불상체육경기대회 도로이어달리기경기 진행,AR0126227,"fn_showArticle(""AR0126227"", """", ""NT11"", ""L"")"
107,2018년-2019년 조선민주주의인민공화국 녀자 1부류축구련맹전소식(12),AR0126226,"fn_showArticle(""AR0126226"", """", ""NT11"", ""L"")"
108,2018년-2019년 조선민주주의인민공화국 1부류축구련맹전소식(13),AR0126058,"fn_showArticle(""AR0126058"", """", ""NT11"", ""L"")"
109,환경보호에 이바지할 연구성과들,AR0126297,"fn_showArticle(""AR0126297"", """", ""NT09"", ""L"")"
110,평양국제건강 및 의료기구부문 과학기술전시회 개막,AR0126283,"fn_showArticle(""AR0126283"", """", ""NT09"", ""L"")"
111,새로운 정밀주조석고제조와 주조기술 연구개발,AR0126122,"fn_showArticle(""AR0126122"", """", ""NT09"", ""L"")"
112,《온실남새부문 과학기술토론회-2019》 개막,AR0126095,"fn_showArticle(""AR0126095"", """", ""NT09"", ""L"")"
113,새로운 남새품종육종사업을 활발히--평양남새과학연구소에서,AR0126054,"fn_showArticle(""AR0126054"", """", ""NT09"", ""L"")"
114,도입전망이 큰 새로운 배낭식전동분무기 제작,AR0126038,"fn_showArticle(""AR0126038"", """", ""NT09"", ""L"")"
115,《전국소년과학환상문예작품 및 모형전시회-2019》 진행,AR0125978,"fn_showArticle(""AR0125978"", """", ""NT09"", ""L"")"
116,로씨야에서 통신위성 발사,AR0125784,"fn_showArticle(""AR0125784"", """", ""NT09"", ""L"")"
117,"조선에서 우량한 과일품종 40여개 육종,국가품종으로 등록",AR0125737,"fn_showArticle(""AR0125737"", """", ""NT09"", ""L"")"
118,남부수단에서 정보자료쎈터 설립,AR0125722,"fn_showArticle(""AR0125722"", """", ""NT09"", ""L"")"
119,재능있는 건축인재들을 육성,AR0126237,"fn_showArticle(""AR0126237"", """", ""NT10"", ""L"")"
120,원격교육을 강화,AR0126352,"fn_showArticle(""AR0126352"", """", ""NT10"", ""L"")"
121,조선에서 적십자활동 활발,AR0126284,"fn_showArticle(""AR0126284"", """", ""NT10"", ""L"")"
122,평양국제건강 및 의료기구부문 과학기술전시회 개막,AR0126283,"fn_showArticle(""AR0126283"", """", ""NT10"", ""L"")"
123,라오스에서의 관광업발전노력,AR0125994,"fn_showArticle(""AR0125994"", """", ""NT19"", ""L"")"
124,마로끄에서 관광업 장려,AR0125222,"fn_showArticle(""AR0125222"", """", ""NT19"", ""L"")"
125,나날이 인기가 오르는 초경량비행기관광,AR0124762,"fn_showArticle(""AR0124762"", """", ""NT19"", ""L"")"
126,몽골에서의 관광업발전조치,AR0124566,"fn_showArticle(""AR0124566"", """", ""NT19"", ""L"")"
127,탄자니아의 관광업발전조치,AR0124526,"fn_showArticle(""AR0124526"", """", ""NT19"", ""L"")"
128,조선 국가관광총국과 로씨야 관광국사이의 협조에 관한 량해문 조인,AR0122941,"fn_showArticle(""AR0122941"", """", ""NT19"", ""L"")"
129,꾸바에서 유람선관광을 적극 장려,AR0122715,"fn_showArticle(""AR0122715"", """", ""NT19"", ""L"")"
130,랑만과 기쁨이 넘쳐나는 마식령스키장,AR0121949,"fn_showArticle(""AR0121949"", """", ""NT19"", ""L"")"
131,강서지구력사유적관광 시작,AR0121709,"fn_showArticle(""AR0121709"", """", ""NT19"", ""L"")"
132,조선의 명산 금강산,AR0120090,"fn_showArticle(""AR0120090"", """", ""NT19"", ""L"")"
133,노래 《배우자》,AR0123824,"fn_showArticle(""AR0123824"", """", ""NT33"", ""L"")"
134,노래 《조국의 밤》,AR0123592,"fn_showArticle(""AR0123592"", """", ""NT33"", ""L"")"
135,노래 《분조농사 꽃이 피네》,AR0123488,"fn_showArticle(""AR0123488"", """", ""NT33"", ""L"")"
136,노래 《종다리》,AR0123387,"fn_showArticle(""AR0123387"", """", ""NT33"", ""L"")"
137,노래 《한마음 따르렵니다》,AR0123291,"fn_showArticle(""AR0123291"", """", ""NT33"", ""L"")"
138,노래 《내 조국의 숲이여》,AR0122945,"fn_showArticle(""AR0122945"", """", ""NT33"", ""L"")"
139,노래 《구름너머 그리운 장군별님께》,AR0122714,"fn_showArticle(""AR0122714"", """", ""NT33"", ""L"")"
140,노래 《2월은 봄입니다》,AR0122534,"fn_showArticle(""AR0122534"", """", ""NT33"", ""L"")"
141, 노래 《김정일화》,AR0122286,"fn_showArticle(""AR0122286"", """", ""NT33"", ""L"")"
142,노래 《내가 지켜선 조국》,AR0122102,"fn_showArticle(""AR0122102"", """", ""NT33"", ""L"")"
