Title,Tag,Summary,Url,Rating,Make_Again_Pct,Ingredients,Direction,Tags
Spicy Lightly Pickled Cucumbers,recipe,"These quick pickles have just the right amount of sweet, salt, and tang going on. The brine can work with any crunchy veg, but we like them best with cucumbers. We guarantee they'll be the sleeper hit of your next party spread.",/recipes/food/views/spicy-lightly-pickled-cucumbers,4.0,100%,[],[],[]
Cucumbers with Ajo Blanco Sauce,recipe,"Think of this as an all-purpose garlic sauce. Once you get the hang of making it, try swapping cashews or blanched hazelnuts for the almonds.",/recipes/food/views/cucumbers-with-ajo-blanco-sauce,4.0,100%,[],[],[]
Cold Beef Tenderloin with Tomatoes and Cucumbers,recipe,"Beef tenderloin is precious enough to baby on a two-zone grill: Sear it over high heat, then transfer it to the cooler side and turn it often to hit a perfect medium-rare.",/recipes/food/views/cold-beef-tenderloin-with-tomatoes-and-cucumbers,2.0,0%,[],[],[]
Fried Fish Sandwiches with Cucumbers and Tartar Sauce,recipe,"Take your cast-iron pan to the grill for this classically flavored crispy fish sandwich recipe (or, if you don’t have a grill, fire up the stove—the breeze won’t be the same, but the sandwich will still be delicious).",/recipes/food/views/fried-fish-sandwiches-with-cucumbers-and-tartar-sauce,3.0,100%,[],[],[]
Grain Salad with Tomatoes and Cucumbers,recipe,We call for semi-pearled grains because they cook more quickly and have a roughened-up texture that helps them soak up the dressing. Browning them first deepens their flavor.,/recipes/food/views/farro-spelt-grain-salad-with-tomatoes-and-cucumbers,3.0,100%,[],[],[]
Charred Cabbage with Goat Cheese Raita and Cucumbers,recipe,Go hard when charring the cabbage wedges—to the point you might think you did something wrong. They are dense and resilient and need a long time on the grill to soften.,/recipes/food/views/grilled-charred-cabbage-with-goat-cheese-raita-and-cucumbers,2.0,0%,[],[],[]
Cucumber-Seaweed Salad,recipe,A ginger and coconut aminos dressing brings together this healthful salad of crunchy cucumbers and toothsome seaweed.,/recipes/food/views/cucumber-seaweed-salad,0.0,0%,[],[],[]
Pineapple Shrimp Noodle Bowls,recipe,Quickly caramelized pineapple and sautéed shrimp are tossed in a sweet and sour sauce with lots of fresh basil and spooned over rice noodles for a quick dinner that beats takeout any day.,/recipes/food/views/pineapple-shrimp-noodle-bowls,3.5,73%,[],[],[]
Sambal Shrimp Lettuce Wraps,recipe,"The shrimp cooks in minutes, so while it’s marinating,  set out a platter of lettuce cups, mint sprigs, chopped peanuts, sliced cucumbers, and the reserved sauce.",/recipes/food/views/sambal-shrimp-lettuce-wraps,3.5,50%,[],[],[]
Smashed Cucumber Salad with Lemon and Celery Salt,recipe,"If you have ever peeled, seeded, and sliced cucumbers for salads, this recipe will hopefully change your mind. Smashing the cucumbers augments the vegetable's ability to absorb seasonings.",/recipes/food/views/smashed-cucumber-salad-with-lemon-and-celery-salt,0.0,0%,[],[],[]
Thai-Style Squid and Cucumber Salad,recipe,"Tossed with crunchy cucumbers, peanuts, and fresh red chiles, this salad makes a refreshing summer dinner spooned over rice or all on its own.",/recipes/food/views/thai-style-squid-and-cucumber-salad,2.5,50%,[],[],[]
Spicy Grilled Chicken with Crunchy Fennel Salad,recipe,"This chicken packs some heat, which is why we paired it with a superclean and cooling crisp fennel salad. If fennel is not your thing, any shaved crunchy veg will do. Try radishes, carrots, or cucumbers instead.",/recipes/food/views/spicy-grilled-chicken-with-crunchy-fennel-salad,4.0,100%,[],[],[]
Lemon Salmon with Creamy Cucumber Salad,recipe,"Marinate salmon in lemon zest and fresh dill, then grill and serve with crunchy chopped cucumbers draped in a coleslaw-like dressing.",/recipes/food/views/grilled-salmon-with-meyer-lemons-and-creamy-cucumber-salad,2.5,60%,[],[],[]
Smashed Cucumber Salad with Hot Vinegar,recipe,"Cucumbers are practically all water, so you gotta dress them like you mean it. This hot, sweet, and tart dressing will have them covered.",/recipes/food/views/smashed-cucumber-salad-with-hot-vinegar,0.0,0%,[],[],[]
Sam's Spring Fattoush Salad,recipe,Part of what makes this salad so great is the dynamic textures; the cracker-like baked lavash croutons and the crunchy cucumbers and radishes contrast with the creamy feta and soft herbs.,/recipes/food/views/sams-spring-cucumber-radish-fattoush-salad,4.0,100%,[],[],[]
Skirt Steak with Spicy Coconut Dressing,recipe,This recipe is exceptionally weeknight-friendly (it goes from start to finish in less than an hour) and fully adaptable depending on the tastes of your family.,/recipes/food/views/skirt-steak-with-spicy-coconut-dressing,4.0,100%,[],[],[]
Mango Toast with Hazelnut-Pepita Butter,recipe,"Savory fruit toast is the new avocado toast. Other combinations we’re crushing on: lemony yogurt with cucumbers, almond butter and pears.",/recipes/food/views/mango-toast-with-hazelnut-pepita-butter,0.0,0%,[],[],[]
Quick-Pickled Charred Vegetables,recipe,This technique is nothing short of amazing—even if you're finicky about your pickles.,/recipes/food/views/quick-pickled-charred-grilled-vegetables,4.0,100%,[],[],[]
Green Beans and Cucumbers with Miso Dressing,recipe,"Crushing and smashing green beans and cucumbers sounds crazy, but it creates nooks and crannies to soak up as much umami-rich miso sauce as possible. And this is a dressing you'll want a lot of.",/recipes/food/views/green-beans-and-cucumbers-with-miso-dressing,3.5,88%,[],[],[]
Crispy Fish Fillets with Cucumber Ceviche,recipe,"Serve panko-crusted white fish with a piquant relish of cucumbers, fennel, and chiles, kissed with both lime and cilantro.",/recipes/food/views/fish-milanese-with-cucumber-ceviche,4.0,100%,[],[],[]
Thai-Style Pineapple-Coconut Rice,recipe,"Keep the accompaniments simple by serving with a platter of sliced baked tofu, cucumbers, tomatoes, and baby carrots.",/recipes/food/views/thai-style-pineapple-coconut-rice,3.0,100%,[],[],[]
Peanut Noodles with Chicken and Snap Peas,recipe,"Featuring an easy make-ahead peanut sauce, these chicken noodle bowls come together in no time at all.",/recipes/food/views/rice-noodles-with-peanut-sauce-chicken-and-snap-peas,3.5,100%,[],[],[]
Thai Beef Salad,recipe,"We eat this salad—which is a great way to stretch a piece of beef—all year long for lunch and dinner, but it's particularly good during the warmer months. The thinly sliced meat, the crunch of the cucumbers and red onions, and the heady aroma of mint and cilantro tossed with the chile-spiked salty-sweet dressing seem made for hot days and nights.",/recipes/food/views/thai-beef-salad,4.0,100%,[],[],[]
Smashed Cucumbers and Radishes in Yogurt Sauce,recipe,"Wheels of cucumbers and radishes are nice and all, but smashing them into ragged pieces is way more fun.",/recipes/food/views/smashed-cucumbers-and-radishes-in-yogurt-sauce,0.0,0%,[],[],[]
Chicken Kofta Meatballs,recipe,Make a big batch of these spicy herbed meatballs and stash them in your freezer and you’ll always have the building blocks for an easy weeknight dinner on hand.,/recipes/food/views/herby-chicken-kofta-meatballs,3.5,88%,[],[],[]
Teriyaki Steak Skewers with Asian-Style Greens,recipe,"These steak kebabs are marinated in soy-ginger sauce, and served over a salad of bok choy, kale, and cucumbers.",/recipes/food/views/teriyaki-steak-skewers-with-asian-style-greens,1.0,0%,[],[],[]
"Yogurt with Raisins, Cucumber, and Walnuts",recipe,"Mast, which translates to yogurt in Farsi, is a staple side dish on most Persian tables. The yogurt can be mixed with shallots, grated cooked beets, cooked spinach, or, most commonly, with Persian cucumbers, mint, and dried rose.",/recipes/food/views/yogurt-with-raisins-cucumber-and-walnuts,0.0,0%,[],[],[]
Favorite Dill Pickles,recipe,"Often called kosher-style dill pickles, these are quick to make. Use either small whole cucumbers or cut larger ones into quarters. For an additional interesting flavor, tuck a small dried hot red pepper into each jar.",/recipes/food/views/fast-favorite-garlic-dill-pickles-230707,3.5,71%,[],[],[]
Kale and Cucumber Salad with Ginger Dressing,recipe,"A Vietnamese-inspired ginger dressing and plenty of cooling, crunchy cucumbers takes kale salad from ""not now"" to ""hey, wow!""",/recipes/food/views/kale-and-cucumber-salad-with-roasted-ginger-dressing,3.0,73%,[],[],[]
"Chilled Beet Soup with Buttermilk, Cucumbers, and Dill (Chlodnik)",recipe,This classic Polish soup is the ultimate in summer refreshment.,/recipes/food/views/chilled-beet-soup-with-buttermilk-cucumbers-and-dill-chlodnik,3.5,87%,[],[],[]
"Flatbread with Fava Beans, Cucumbers, and Burrata",recipe,Fava beans most likely require a trip to a farmers’ market and take a while to peel. Sugar snap peas cut into bite-size pieces are a fine alternative.,/recipes/food/views/flatbread-with-fava-beans-cucumbers-and-burrata,4.0,100%,[],[],[]
Moroccan Skirt Steak Salad With Chermoula,recipe,"A fragrant, herbaceous sauce acts as both a marinade and a dressing for this pretty, Moroccan-inspired salad.",/recipes/food/views/moroccan-skirt-steak-salad-with-chermoula,3.0,75%,[],[],[]
Cucumber and Raisin Relish With Mustard Seeds,recipe,"Golden raisins add a bright sweetness to this fresh take on sweet-and-sour pickles. Serve it with our Cider-Brined, Maple-Glazed Pork Loin, spread it onto sandwiches, or use it to top hot dogs.",/recipes/food/views/cucumber-and-raisin-relish-with-mustard-seeds,4.0,100%,[],[],[]
Fresh Dill Cucumbers with Lemon,recipe,Fresh Dill Cucumbers with Lemon,/recipes/food/views/fresh-dill-cucumbers-with-lemon,0.0,0%,[],[],[]
Crispy Pork Lettuce Wraps,recipe,"Sweet and spicy pork belly lettuce wraps—served with a refreshing cucumber salad—are a cool, crunchy dinner for sweltering August nights.",/recipes/food/views/crispy-pork-lettuce-wraps-with-spicy-cucumbers-56390119,4.0,100%,[],[],[]
Miso-Cured Black Cod with Chilled Cucumbers,recipe,Pro tip: Viva brand paper towels are used at Rintaro specifically for insulating the cod from its salty cure and will absorb moisture without falling apart.,/recipes/food/views/miso-cured-black-cod-with-chilled-cucumbers-56389995,1.0,0%,[],[],[]
Cold Asian Noodle Salad,recipe,"This sweet and spicy pasta salad features chicken—use leftovers or grab a rotisserie chicken at the store. Make it for dinner tonight, or pack it up for lunches—it’ll be just as good tomorrow.",/recipes/food/views/cold-asian-noodle-salad-with-chicken-and-cucumbers-56389799,3.0,60%,[],[],[]
Cucumbers with Scallions and Chili Oil,recipe,Why waste time with a knife? A simple whack to a cucumber yields jagged surfaces eager to soak up this tangy dressing.,/recipes/food/views/cucumbers-with-scallions-and-chili-oil-56389645,0.0,0%,[],[],[]
Strawberry-Cucumber Salad with Lemon Cream,recipe,Strawberries and cream...and cardamom. The cooling spice and cucumbers give berries an element of intrigue.,/recipes/food/views/strawberry-cucumber-salad-with-lemon-cream-56389861,4.0,100%,[],[],[]
Ginger-Dill Pickles,recipe,"These herbaceous pickles combine spicy ginger with bright dill. Although cucumbers are classic, cherry tomatoes or green beans would also work well in this brine.",/recipes/food/views/ginger-dill-pickles-56389773,0.0,0%,[],[],[]
Sweet and Sour Pickles,recipe,"These spiced-packed pickles are the perfect combination of tart and sweet, great for pre-dinner snacking or to top a sandwich. Yellow squash is delicious, but the brine also works well with cucumbers, zucchini, onions, or mushrooms.",/recipes/food/views/sweet-and-sour-pickles-56389775,2.0,100%,[],[],[]
Charred Romaine Greek Salad With Quinoa-Crusted Feta,recipe,"I live in New York, where Greek salads are a reliable diner staple. I love the combination of briny Kalamata olives and salty feta cheese mixed with crisp romaine lettuce and refreshing cucumbers. This somewhat deconstructed, twenty-first century version applies the ""warm goat cheese salad"" method to a Greek salad, coating fresh feta slices in egg wash and quinoa and then pan-frying. The result is incredibly delicious—and as good as it looks in the picture!",/recipes/food/views/charred-romaine-greek-salad-with-quinoa-crusted-feta-56389585,4.0,100%,[],[],[]
